ts_utc,event_ticker,market_ticker,strike,side,count,price_cents,entry_cost,fee,p_yes,p_win_model,implied_q_chosen_side,break_even_prob,edge_prob,expected_pnl,outcome_yes,win,realized_pnl,source_event,skip_reason
2026-02-18T12:12:12.291732+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,6,0.07,0.01,0.8788579184434706,0.12114208155652939,0.06,0.07,0.051142081556529384,0.051142081556529384,,,,skip,state_event_mismatch
2026-02-18T12:12:58.562208+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,10,0.11,0.01,0.8373237669262662,0.1626762330737338,0.1,0.11,0.0526762330737338,0.0526762330737338,,,,skip,state_event_mismatch
2026-02-18T12:13:10.062807+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,10,0.11,0.01,0.838548139652709,0.16145186034729098,0.1,0.11,0.051451860347290976,0.051451860347290976,,,,skip,state_event_mismatch
2026-02-18T12:13:21.794700+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67749.99,67749.99,yes,1,20,0.21,0.01,0.2645553410533702,0.2645553410533702,0.2,0.21,0.054555341053370204,0.054555341053370204,,,,skip,state_event_mismatch
2026-02-18T12:13:22.720900+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,10,0.11,0.01,0.838047649992684,0.161952350007316,0.1,0.11,0.051952350007316,0.051952350007316,,,,skip,state_event_mismatch
2026-02-18T12:13:34.330839+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,9,0.1,0.01,0.8450720053896985,0.1549279946103015,0.09,0.1,0.054927994610301484,0.054927994610301484,,,,skip,state_event_mismatch
2026-02-18T12:13:34.331228+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67749.99,67749.99,yes,1,21,0.22,0.01,0.2729693777154172,0.2729693777154172,0.21,0.22,0.05296937771541718,0.05296937771541718,,,,skip,state_event_mismatch
2026-02-18T12:13:45.929379+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67749.99,67749.99,yes,1,21,0.22,0.01,0.27429419407558886,0.27429419407558886,0.21,0.22,0.05429419407558886,0.05429419407558886,,,,skip,state_event_mismatch
2026-02-18T12:13:46.546277+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,9,0.1,0.01,0.8468472767366079,0.15315272326339213,0.09,0.1,0.053152723263392126,0.053152723263392126,,,,skip,state_event_mismatch
2026-02-18T12:13:58.162301+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,10,0.11,0.01,0.8358467069870226,0.16415329301297743,0.1,0.11,0.05415329301297743,0.05415329301297743,,,,skip,state_event_mismatch
2026-02-18T12:14:09.706675+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,12,0.13,0.01,0.8110753236628538,0.18892467633714616,0.12,0.13,0.058924676337146153,0.058924676337146153,,,,skip,state_event_mismatch
2026-02-18T12:14:21.311455+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,13,0.14,0.01,0.8065102298297098,0.19348977017029023,0.13,0.14,0.05348977017029022,0.05348977017029022,,,,skip,state_event_mismatch
